modelId,manufacturerId,modelYearFrom,modelYearTo,modelName,isPassengerCar,isCommercialVehicle,isMotorbike,isLcv,isDriverCab,IsAxle,IsEngine,isBus,isAftermarket,isTractor,isVirtualOEM
14319,138,1/1/2013,null,PRISMA,1,0,0,0,0,0,0,0,0,1,0
6783,138,5/1/1997,8/31/2001,PRIZM,1,0,0,0,0,0,0,0,0,1,0
30793,138,9/1/1986,12/31/1987,R10 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
34771,138,9/1/1994,12/31/1999,R15 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30794,138,9/1/1986,12/31/1988,R10 SUBURBAN Closed Off-Road Vehicle,1,0,0,0,0,0,0,0,0,1,0
14048,138,9/1/1986,12/31/1988,R20 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
35039,138,9/1/1986,12/31/1988,R20 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30796,138,9/1/1986,12/31/1988,R20 Cab & Chassis,1,0,0,0,0,0,0,0,0,0,0
30799,138,9/1/1986,12/31/1988,R20 SUBURBAN Closed Off-Road Vehicle,1,0,0,0,0,0,0,0,0,1,0
35040,138,9/1/1995,12/31/2002,R25 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
36115,138,9/1/1997,12/31/1999,R25 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
14047,138,9/1/1986,12/31/1988,R30 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
35041,138,9/1/1986,12/31/1988,R30 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30802,138,9/1/1986,12/31/1988,R30 Cab & Chassis,1,0,0,0,0,0,0,0,0,0,0
13814,138,9/1/1988,12/31/1991,R1500 SUBURBAN Closed Off-Road Vehicle,1,0,0,0,0,0,0,0,0,1,0
30800,138,9/1/1988,12/31/1989,R2500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30801,138,9/1/1988,12/31/1991,R2500 SUBURBAN Closed Off-Road Vehicle,1,0,0,0,0,0,0,0,0,1,0
11561,138,9/1/1988,12/31/1991,R3500 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
35042,138,9/1/1988,12/31/1991,R3500 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,0,0
30805,138,9/1/1988,12/31/1991,R3500 Cab & Chassis,1,0,0,0,0,0,0,0,0,0,0
5406,138,3/1/2005,null,REZZO MPV (U100),1,0,0,0,0,0,0,0,0,1,1
6131,138,9/1/1981,9/30/1991,S10 Pick Up,1,0,0,0,0,0,0,0,0,1,1
10907,138,10/1/1994,12/31/2012,S10 Pickup,1,0,0,0,0,0,0,0,0,1,1
11485,138,2/1/2012,null,S10 Pickup,1,0,0,0,0,0,0,0,0,1,0
30811,138,9/1/1981,12/31/1993,S10 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
35043,138,9/1/1993,12/31/2004,S10 Standard Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
30810,138,9/1/1981,12/31/1993,S10 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
12958,138,9/1/1993,12/31/2004,S10 Extended Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11564,138,9/1/1993,12/31/2004,S10 Crew Cab Pickup,1,0,0,0,0,0,0,0,0,1,0
11562,138,9/1/1981,12/31/1993,S10 Platform/Chassis,1,0,0,0,0,0,0,0,0,1,0
36897,138,2/1/2012,null,S10 Platform/Chassis,1,0,0,0,0,0,0,0,0,1,0
11285,138,1/1/2010,null,SAIL Saloon,1,0,0,0,0,0,0,0,0,1,0
11284,138,1/1/2010,null,SAIL Hatchback,1,0,0,0,0,0,0,0,0,1,0
37015,138,1/1/2014,null,SAIL Saloon,1,0,0,0,0,0,0,0,0,0,0
9720,138,1/1/2002,null,SENS,1,0,0,0,0,0,0,0,0,1,0
6150,138,1/1/1995,12/31/2007,SILVERADO,1,0,0,0,0,0,0,0,0,1,0
11366,138,1/1/2007,null,SILVERADO,1,0,0,0,0,0,0,0,0,1,0
10289,138,1/1/2007,null,SILVERADO Platform/Chassis (GMT900),1,0,0,0,0,0,0,0,0,1,0
11127,138,9/1/1997,12/31/2007,SILVERADO 1500,1,0,0,0,0,0,0,0,0,1,0
11133,138,9/1/2006,null,SILVERADO 1500,1,0,0,0,0,0,0,0,0,1,1
